gauge_id q_quality_control_perc q_stream_stage_perc
33260000 100.000 95.277
33270000 95.154 90.924
33281000 100.000 97.372
33286000 100.000 96.318
33290000 100.000 89.555
33321000 99.288 97.276
33330000 98.070 95.154
33380000 96.236 94.757
33450000 100.000 90.938
33460000 100.000 97.002
33480000 100.000 98.645
33520000 100.000 98.193
33530000 100.000 97.098
33550000 100.000 95.044
33620000 96.838 89.432
33630000 100.000 92.320
33680000 97.385 92.266
33730000 99.083 87.967
33760000 99.370 95.332
33780000 100.000 94.292
34020000 100.000 97.796
34060000 100.000 97.029
34070000 100.000 95.168
34090000 100.000 98.864
34130000 100.000 96.290
34170000 100.000 99.603
34251000 98.234 93.457
34311000 100.000 98.960
34571000 99.466 64.997
34660000 99.986 97.919
34690000 100.000 86.051
34730000 95.099 67.748
34750000 100.000 97.618
34770000 100.000 88.104
34789000 100.000 83.080
34879500 100.000 93.853
34930000 96.304 73.785
34940000 99.028 89.487
34980000 100.000 62.601
35235000 99.726 93.032
35240000 100.000 30.554
35258000 97.974 93.703
35260000 99.576 85.353
35263000 100.000 43.901
35740000 99.576 93.607
35830000 96.674 43.587
36020000 98.385 30.951
36045000 100.000 24.709
36125000 99.781 36.550
36130000 98.275 43.368
36160000 99.781 29.541
36210000 99.603 76.619
36250000 100.000 63.450
36290000 100.000 76.810
36320000 100.000 93.320
36390000 99.151 95.647
36580000 100.000 98.795
37220000 98.330 96.523
37380000 99.329 82.574
37410000 100.000 99.247
37470000 98.850 95.181
37710150 98.261 96.605
38650000 96.386 32.471
38790000 97.098 89.322
38830000 98.864 32.183
38860000 99.562 70.007
39084010 95.058 86.543
39084020 97.700 94.908
39100000 97.207 5.353
39130000 99.562 33.333
39140000 100.000 38.987
39145000 99.165 47.118
39150000 99.576 96.906
39170000 96.441 94.990
39185000 95.181 92.745
39187800 99.165 96.427
39360000 99.275 92.005
39480000 99.014 93.114
39540000 97.563 88.364
39560000 100.000 97.153
39580000 100.000 98.659
39760000 100.000 96.441
39770000 100.000 96.304
39870000 97.741 95.852
40025000 86.899 96.482
40037000 89.993 100.000
40040000 79.562 84.025
40050000 89.569 97.947
40053000 87.214 96.810
40060001 89.993 99.576
40100000 89.993 98.316
40150000 86.913 96.482
40170000 89.993 99.576
40185000 89.692 99.220
40330000 79.891 88.090
40500000 88.747 98.330
40549998 100.000 97.522
40579995 100.000 67.283
40680000 100.000 90.459
40710000 100.000 64.203
40740000 100.000 92.635
40800001 100.000 97.591
40810350 89.993 99.576
40810800 100.000 93.717
40811100 100.000 99.138
40822995 100.000 90.171
40823500 100.000 92.621
40850000 100.000 30.267
40975000 86.352 95.948
41050000 89.993 97.344
41135000 89.938 98.248
41199998 87.379 93.210
41260000 89.993 95.469
41300000 88.405 97.906
41380000 79.986 92.211
41410000 79.644 91.061
41440005 89.993 99.452
41539998 89.993 99.576
41650002 78.563 81.068
41685000 89.966 99.562
41780002 89.692 95.305
41818000 88.433 97.591
41890000 89.103 99.055
41990000 84.558 90.554
42089998 89.993 98.946
42100000 88.898 98.905
42187000 89.993 98.453
42210000 89.528 96.509
42250000 89.993 99.576
42255000 89.856 99.370
42257000 86.502 96.099
42290000 89.993 99.781
42395000 89.199 98.631
42440000 86.379 95.975
42490000 77.618 82.751
42540000 85.188 94.771
42546000 87.105 96.687
42690001 86.557 96.153
42750000 88.734 97.303
42840000 89.815 99.411
42930000 77.947 88.350
43200000 100.000 91.088
43300000 89.774 99.370
43670000 89.993 99.576
43675000 88.611 98.617
43880000 87.693 96.030
44200000 100.000 98.481
44250000 100.000 99.713
44290002 99.343 97.536
44500000 100.000 99.097
44540000 100.000 98.645
44670000 100.000 93.087
45131000 89.993 98.686
45170001 89.993 99.452
45210000 89.993 99.329
45220000 89.993 100.000
45260000 89.733 99.042
45298000 100.000 98.631
45480000 87.091 96.263
45590000 89.993 100.000
45770000 89.993 98.686
45840000 89.993 99.576
45880000 89.993 98.481
45910001 89.993 100.000
45960001 89.993 100.000
46035000 84.997 98.713
46105000 89.993 100.000
46360000 84.983 96.468
46455000 84.983 97.221
46570000 88.775 98.357
46610000 89.993 99.083
46650000 86.407 95.770
46770000 89.993 100.000
46830000 89.993 100.000
46902000 84.723 99.014
47480000 89.884 99.466
48020000 84.997 90.034
48290000 89.993 98.741
48590000 84.997 94.524
49330000 89.993 98.754
49370000 89.651 98.795
49705000 88.378 91.116
50040000 98.412 91.198
50047000 96.523 91.677
50146000 96.359 86.804
50150000 100.000 92.567
50191000 99.521 91.075
50250000 98.905 93.443
50290000 96.345 88.118
50330000 99.576 98.152
50380000 97.906 86.393
50420000 97.331 95.168
50430000 97.399 78.713
50465000 100.000 85.927
50540000 97.002 78.932
50595000 99.576 74.647
50620000 99.138 97.851
50660000 97.645 93.511
50720000 99.576 89.925
50730000 97.591 88.186
50740000 99.576 92.498
50755000 99.576 91.828
50785000 99.576 93.388
50795000 99.576 82.587
51060100 98.522 97.659
51120000 100.000 80.205
51140000 97.098 87.762
51170000 99.891 95.592
51230000 99.220 95.044
51240000 100.000 94.428
51280000 100.000 88.282
51330000 100.000 96.988
51350000 99.576 94.620
51430000 96.879 94.675
51440000 99.302 98.672
51460000 98.316 89.363
51560000 99.576 98.097
51685000 98.877 97.769
51750000 97.495 96.386
51795000 98.193 94.497
51820000 98.097 94.456
51840000 97.098 94.784
51870000 99.576 96.468
51940000 99.151 95.400
52050000 95.797 86.557
52370000 99.576 97.358
52404000 99.480 85.832
52405000 99.576 95.469
52570000 95.647 89.610
52680000 99.576 95.414
52695000 99.576 95.044
52760000 99.110 95.893
52790000 98.439 94.826
52831000 99.576 98.138
53050000 98.946 91.047
53091000 99.192 64.572
53125000 77.988 84.066
53140000 95.743 82.505
53160000 98.001 91.321
53170000 99.206 94.182
53180000 98.918 73.415
53540001 99.576 74.716
53620000 99.576 90.554
53630000 99.069 95.510
53650000 99.576 96.742
53780000 99.384 95.086
53880000 99.576 94.305
53950000 99.576 89.213
54010005 100.000 92.977
54110002 99.480 97.084
54150000 100.000 95.811
54165000 100.000 99.384
54195000 100.000 91.786
54230000 100.000 78.645
54260000 100.000 56.181
54300000 99.179 93.292
54390000 100.000 89.706
54485000 100.000 88.419
54500000 100.000 90.541
54580000 100.000 79.630
54590000 97.810 96.961
54710000 100.000 88.953
54730005 97.413 95.003
54770000 100.000 84.805
54780000 100.000 75.962
54950000 97.112 92.772
55330000 100.000 98.549
55340000 100.000 98.056
55360000 100.000 98.836
55370000 98.604 94.018
55380000 96.249 93.580
55460000 98.522 96.276
55520001 100.000 96.441
55560000 100.000 78.960
55610000 100.000 95.551
55630000 100.000 99.480
55660000 100.000 99.110
55699998 100.000 96.865
55790000 99.767 97.413
55895000 99.713 97.290
55900000 100.000 99.493
55920000 98.604 96.318
55960000 98.987 95.318
56028000 100.000 95.633
56055000 100.000 83.518
56065000 98.125 90.568
56075000 100.000 86.215
56085000 100.000 94.867
56090000 97.235 96.044
56110005 100.000 95.934
56240000 100.000 97.741
56335001 100.000 96.988
56415000 100.000 90.568
56425000 100.000 84.490
56460000 98.357 88.378
56484998 97.180 92.156
56500000 100.000 94.018
56510000 97.139 88.939
56539000 100.000 96.961
56570000 100.000 78.371
56610000 100.000 77.194
56640000 98.590 94.018
56659998 100.000 92.101
56696000 100.000 97.139
56719998 100.000 92.334
56750000 100.000 95.455
56775000 100.000 82.245
56787000 100.000 97.810
56800000 100.000 96.947
56825000 99.986 96.619
56845000 100.000 97.331
56846000 100.000 97.686
56850000 100.000 93.703
56860000 100.000 99.083
56870000 100.000 90.308
56891900 100.000 99.055
56915500 79.973 87.406
56920000 100.000 98.631
56940002 98.782 77.522
56960005 100.000 74.962
56976000 100.000 91.116
56978000 100.000 79.685
56983000 100.000 93.963
56988500 100.000 90.198
56989001 100.000 99.945
56990000 100.000 96.208
56990990 100.000 72.841
56991500 100.000 79.589
56992000 100.000 87.283
56993551 99.795 98.042
56994500 100.000 95.455
56994510 100.000 95.168
56995500 100.000 96.783
57040008 100.000 97.112
57130000 100.000 99.863
57170000 100.000 96.742
57250000 100.000 96.372
57300000 100.000 98.576
57320000 100.000 85.544
57350000 100.000 94.305
57360000 100.000 64.600
57370000 100.000 90.993
57400000 100.000 70.308
57420000 100.000 98.015
57450000 100.000 98.289
57460000 98.987 93.552
57476500 100.000 99.055
57490000 100.000 97.823
57550000 100.000 85.736
57580000 100.000 98.850
57650000 97.823 90.240
57700000 100.000 97.331
57720000 100.000 99.370
57740000 100.000 99.124
57770000 100.000 97.262
57830000 100.000 98.125
57880000 100.000 97.919
57930000 100.000 96.153
58030000 99.986 96.003
58040000 100.000 99.042
58060000 99.398 98.836
58096000 98.330 98.330
58099000 95.825 87.721
58142200 100.000 87.981
58183000 100.000 73.689
58204000 100.000 75.565
58218000 100.000 84.340
58220000 100.000 91.266
58235100 100.000 70.732
58258000 100.000 99.001
58270000 99.617 98.316
58300000 89.993 84.832
58305001 100.000 94.620
58380001 99.986 97.604
58405000 100.000 96.400
58420000 100.000 96.030
58425000 100.000 94.031
58434000 97.988 87.639
58440000 100.000 75.496
58470000 100.000 96.892
58480500 100.000 98.357
58500000 100.000 98.645
58516500 100.000 99.630
58520000 100.000 94.839
58530000 100.000 96.550
58535000 100.000 91.198
58542000 100.000 90.171
58550001 100.000 95.907
58560000 100.000 93.046
58573000 100.000 96.400
58585000 100.000 92.950
58610000 100.000 97.919
58620000 95.168 95.168
58630002 100.000 92.279
58645000 100.000 95.510
58648001 78.563 97.180
58658000 100.000 95.633
58670002 99.151 97.851
58710000 100.000 89.295
58720000 99.493 92.320
58730001 100.000 96.236
58735000 100.000 86.352
58736000 96.961 91.198
58750000 100.000 95.948
58755000 100.000 97.906
58765001 100.000 93.648
58770000 100.000 89.911
58795000 100.000 91.581
58825000 100.000 95.647
58827000 100.000 82.751
58846000 100.000 73.785
58850000 100.000 93.539
58870000 100.000 96.687
58880001 99.986 85.229
58910000 100.000 92.252
58916000 100.000 94.647
58917000 100.000 97.577
58920000 100.000 89.692
58930000 100.000 86.941
58934000 100.000 96.153
58940000 100.000 93.155
58960000 100.000 91.212
58974000 100.000 90.349
59100000 100.000 99.192
59120000 100.000 93.019
59125000 100.000 99.617
59181000 100.000 96.208
59240000 100.000 90.363
59355000 99.986 96.646
59370000 100.000 83.381
59380000 97.139 87.762
60010000 100.000 84.558
60011000 100.000 87.625
60100000 100.000 69.500
60110000 100.000 99.014
60130000 100.000 43.860
60145000 100.000 83.025
60220000 100.000 95.592
60250000 100.000 93.881
60265000 100.000 79.658
60381000 100.000 93.279
60435000 0.000 96.441
60435100 0.000 99.576
60435200 0.000 99.165
60435300 0.000 98.700
60436000 0.000 97.550
60471200 0.000 98.727
60473000 0.000 98.042
60476100 0.000 94.196
60477400 0.000 93.744
60477600 9.993 88.556
60478500 0.000 92.950
60478600 0.000 94.689
60490000 0.000 94.182
60500000 97.221 83.888
60615000 100.000 76.222
60635000 100.000 91.225
60640000 100.000 94.730
60642000 100.000 85.749
60650000 100.000 85.325
60653000 100.000 96.058
60654000 100.000 93.812
60665000 100.000 95.592
60680000 100.000 93.251
60715000 100.000 99.973
60750000 100.000 94.798
60765000 99.986 83.340
60772000 100.000 73.073
60774000 100.000 87.570
60778000 100.000 97.317
60781000 100.000 94.511
60790000 100.000 74.045
60798000 100.000 85.311
60810000 97.618 96.030
60850000 100.000 87.721
60855000 100.000 97.454
60910000 97.686 93.799
60925001 100.000 99.124
60930000 100.000 96.071
60940000 100.000 97.029
60950000 99.233 98.207
60960000 99.918 98.905
60968000 100.000 80.164
60970000 100.000 99.425
61009000 100.000 92.403
61012000 100.000 97.194
61014000 100.000 96.564
61024000 100.000 95.647
61031000 99.576 72.676
61045000 100.000 91.855
61052000 100.000 94.908
61060000 100.000 92.485
61075000 100.000 97.509
61078000 100.000 96.276
61085000 100.000 93.703
61090000 100.000 92.936
61100000 98.754 96.003
61105000 100.000 84.066
61107000 100.000 92.567
61115000 100.000 96.865
61122000 100.000 96.838
61135000 100.000 89.843
61173000 100.000 92.580
61175000 89.993 91.253
61250000 100.000 86.708
61267000 99.165 85.599
61271000 100.000 92.416
61280000 100.000 74.757
61285000 100.000 93.265
61295000 100.000 83.764
61305000 100.000 78.453
61320000 99.343 83.847
61343000 100.000 86.667
61350000 100.000 58.467
61370000 100.000 89.459
61390000 100.000 83.190
61410000 100.000 93.320
61460000 100.000 95.921
61473000 100.000 94.086
61500000 100.000 96.496
61510000 100.000 78.316
61520000 96.632 66.954
61537000 100.000 98.508
61565000 100.000 75.975
61610000 99.165 98.563
61700000 100.000 93.498
61770000 95.537 94.538
61795000 99.576 94.374
61815000 95.442 94.743
61826000 100.000 96.578
61830000 100.000 99.535
61886000 99.986 86.913
61902000 100.000 96.263
61910000 0.000 15.017
61912000 100.000 71.896
61915000 100.000 93.895
61953001 0.000 15.017
61956001 0.000 15.017
62420000 97.495 90.883
62477100 0.000 15.017
62490000 98.741 97.166
62600000 100.000 82.834
62615000 100.000 94.743
62622000 0.000 15.017
62625000 98.056 97.331
62670000 97.782 95.743
62715000 0.000 15.017
62760005 96.249 93.169
62760150 96.249 82.314
62767500 96.660 88.460
63250000 100.000 93.525
63350100 100.000 94.853
63790000 0.000 15.017
63950010 100.000 87.515
63950100 100.000 94.100
63955000 98.727 93.498
63970000 98.741 91.307
64040000 99.398 99.329
64065000 95.003 93.306
64075000 75.387 97.084
64231000 100.000 97.837
64315000 0.000 15.017
64327000 0.000 15.017
64346000 0.000 15.017
64360000 100.000 97.933
64362000 100.000 93.635
64370000 62.478 99.316
64380000 99.986 87.283
64382000 100.000 81.232
64395000 0.000 15.017
64442800 100.000 98.768
64447000 100.000 94.538
64453000 0.000 100.000
64465000 100.000 95.825
64477600 100.000 99.343
64501000 100.000 97.974
64504210 0.000 100.000
64504550 0.000 98.166
64506000 96.715 84.709
64507000 100.000 84.490
64508500 99.069 94.593
64550000 95.332 91.307
64575003 100.000 95.017
64613000 100.000 93.840
64613800 95.811 76.523
64614000 100.000 74.538
64617000 100.000 81.191
64618000 99.685 73.758
64619950 100.000 97.166
64620000 100.000 93.374
64625000 100.000 97.536
64645000 100.000 97.728
64652000 100.000 96.263
64655000 100.000 97.509
64659000 100.000 99.014
64660500 100.000 96.496
64671000 0.000 96.674
64673000 99.233 98.960
64675002 100.000 97.947
64682000 100.000 99.644
64685000 100.000 97.468
64693000 100.000 95.127
64700000 100.000 93.799
64717000 99.576 83.792
64723000 100.000 92.964
64764000 99.918 90.226
64767000 100.000 96.318
64771500 100.000 91.595
64773000 100.000 98.125
64775000 100.000 94.620
64776100 100.000 89.199
64785000 100.000 99.822
64795000 100.000 95.222
64799500 100.000 96.632
64810000 100.000 92.950
64815000 100.000 91.677
64820000 100.000 95.524
64830000 100.000 97.810
64843000 100.000 92.608
65006075 0.000 97.249
65009000 44.887 99.576
65010000 100.000 98.809
65015400 100.000 93.114
65021000 100.000 99.617
65021250 99.562 63.504
65021770 100.000 98.563
65024000 100.000 89.747
65025000 100.000 96.810
65027000 100.000 99.343
65060000 100.000 98.193
65095000 100.000 83.682
65100000 100.000 97.166
65135000 100.000 98.905
65136550 100.000 95.510
65180000 100.000 99.247
65220000 100.000 97.426
65310000 100.000 98.604
65809000 100.000 96.263
65815050 0.000 99.589
65855000 0.000 99.754
65925000 100.000 98.001
65945000 100.000 99.124
65948000 100.000 97.796
65960000 100.000 98.973
65979000 100.000 86.598
65986000 99.576 86.571
65987000 47.379 98.357
65993000 99.507 99.083
66006000 87.817 96.961
66160000 88.350 82.738
66260001 100.000 81.396
67100000 89.624 95.893
70100000 98.563 93.415
70200000 98.741 96.975
70300000 97.892 80.465
70500000 95.784 75.770
71200000 100.000 80.849
71250000 100.000 74.428
71300000 100.000 65.010
71350001 100.000 66.434
71383000 100.000 83.942
71498000 100.000 88.898
71550000 100.000 89.733
72430000 97.892 92.101
72630000 100.000 82.478
72680000 100.000 86.941
72715000 0.000 60.328
72810000 0.000 64.887
72849000 99.261 82.341
72870000 96.208 90.089
73300000 99.740 61.396
73330000 99.740 83.176
73350000 99.726 83.724
73550000 100.000 94.333
73600000 98.316 78.850
73690001 98.330 88.830
73765000 100.000 71.841
73770000 100.000 58.823
73780000 97.892 72.375
73820000 97.700 79.891
73900000 100.000 86.667
73960000 100.000 66.420
74100000 100.000 86.954
74205000 100.000 88.446
74270000 100.000 96.783
74295000 99.767 80.055
74320000 100.000 87.652
74370000 100.000 95.647
74460000 100.000 92.621
74470000 100.000 93.840
74700000 100.000 93.635
74750000 99.329 92.430
74800000 99.165 82.560
74880000 100.000 67.324
74900000 100.000 87.597
75200000 77.673 64.887
75205000 88.323 89.172
75230000 89.144 89.980
75295000 88.734 89.158
75320000 85.681 85.681
75450000 84.750 85.161
75500000 86.010 88.515
75550000 100.000 88.830
75600000 78.439 57.317
75700000 83.176 83.176
75780000 100.000 93.237
76085000 85.298 85.722
76100000 87.242 87.242
76300000 83.381 83.381
76310000 86.995 86.995
76460000 31.198 70.157
76750000 87.064 87.502
77150000 100.000 66.051
81019300 0.000 100.000
81019350 89.569 99.576
81102000 89.993 99.589
81107000 89.993 100.000
81120000 89.993 100.000
81125000 89.993 100.000
81135000 89.049 99.055
81140000 89.993 100.000
81200000 89.500 99.507
81335000 76.605 96.140
81585000 0.000 15.017
81683000 0.000 97.166
82270050 100.000 73.922
82320000 100.000 72.348
82350000 100.000 94.305
82770000 99.507 82.669
83029900 100.000 58.193
83050000 100.000 69.884
83105000 100.000 76.427
83250000 100.000 80.315
83300200 100.000 88.090
83345000 100.000 88.501
83440000 100.000 92.279
83520000 100.000 55.674
83675000 100.000 89.706
83690000 100.000 89.938
83800002 100.000 42.040
83892990 98.754 88.556
83892998 98.864 86.845
84071000 100.000 89.514
84095000 97.207 42.094
84095500 96.892 54.962
84150100 99.589 82.806
84249998 99.589 71.677
84300000 99.603 66.763
84520000 100.000 97.577
84520010 100.000 86.188
84551000 100.000 72.895
84559800 100.000 90.760
84560000 100.000 82.751
84580000 99.644 63.395
84598002 100.000 95.359
84600000 100.000 71.964
84949000 96.783 83.901
84949800 98.918 55.934
84950000 98.918 75.263
85400000 99.576 86.229
85438000 97.769 91.485
85470000 98.316 76.523
85480000 98.316 88.241
85600000 98.316 47.625
85610000 98.316 84.764
85623000 98.316 93.881
85642000 98.316 93.840
85900000 98.316 86.201
86100000 98.070 93.101
86160000 98.316 80.260
86410000 98.727 93.388
86420000 98.316 90.075
86480000 100.000 91.472
86500000 100.000 83.025
86510000 100.000 75.962
86560000 100.000 81.492
86580000 100.000 70.431
86700000 100.000 77.207
86745000 99.425 92.799
87160000 98.152 89.651
87170000 98.166 31.239
87270000 98.001 86.680
87317060 97.481 93.361
87380000 97.892 87.899
87382000 98.302 77.522
87399000 98.672 77.563
88750000 99.576 89.802
88850000 99.795 96.468
